ID,Nombre,Compañía,Monto,Estado,Creado en,Pagado en
0000d8d9d1cc40ec1fddc849fccf2bf801cb8ec7,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,475.82,refunded,2019-03-06,2019-03-06
0008c6c98fa03633ac39c5af4418df778b9a290b,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,201.15,paid,2019-01-31,2019-01-31
001e3d6bb05dccc7577d10deb5f12cc368c05bcc,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,147.6,paid,2019-03-16,2019-03-17
001f83504487a1a92d22aa53d96d15f71fd0f584,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,44.6,pending_payment,2019-02-02,""
00235c9af28831e4c8a6a2884db58761c35cbd7f,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,27.47,voided,2019-05-06,""
0029c003f69aab941bb0b36b93e3c81aded66124,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,246.26,paid,2019-05-11,2019-05-11
0034a779c8dac21c085780ea8bbabc0ba48e4a57,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,157.0,paid,2019-02-22,2019-02-22
0039422c4ba84aee6bbc78d59bdb145de9790207,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,139.36,paid,2019-01-06,2019-01-06
0044d63eaba26b983e1c5d96aba810bb1a0d4bbf,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,54.46,paid,2019-05-12,2019-05-12
005a697eb0aacee2a8b09c0dd65f7d1d7a5fd9cf,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,109.82,paid,2019-03-22,2019-03-22
006085544b21cd97f47f71507c4b6b476e14297a,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,120.78,pending_payment,2019-04-27,""
00748a57b213cafdc90f39abb1a4f6e25c913457,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,75.29,voided,2019-02-28,""
007ee5ce0cd5771bb43fa8d25f04b7e02b6038c1,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,69.84,paid,2019-03-30,2019-03-30
0082bbcb6121354efcbe716fab008001fc8be817,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,71.97,paid,2019-03-31,2019-03-31
0083f3c78dabddf1d8efbed0e80731908cf6bb09,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,85.6,paid,2019-03-05,2019-03-05
0085b3f971a9b455d9e950b3762c2aa51f39671b,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,305.42,paid,2019-01-28,2019-01-28
00afc1e6b9218b5231e33eb09b94aec16dbec654,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-01-17,""
00b279a4fe71d9871a83937d2e701396587dfc88,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,133.7,paid,2019-04-03,2019-04-03
00d4ba4677ea2836779cbc2e542e82e25165420f,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,85.31,voided,2019-04-27,""
00d7f0a072a94341dd21c7002657f370fd1aa3d0,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,70.12,pending_payment,2019-02-17,""
00e3f4d3a487a1d6cd34b414ed97b0a677e99d03,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,91.05,voided,2019-02-07,""
00f14ac2f45506db7cb2b2ec9023eff73d62b414,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-01-11,""
00fbe3dcbe73b007d161381809e4b1dbf25088f2,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,3.0,voided,2019-04-21,""
01029234fc4029e80b697c0e74ba72f1bc46d7f6,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,77.2,paid,2019-05-16,2019-05-16
010aedec063b7e4928fd43af622b5ca35f14380f,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,44.25,paid,2019-05-18,2019-05-18
0117b76c937f811f66c35ec1648c4ee62f02ce7d,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,67.8,pending_payment,2019-03-30,""
0122cf18024cb5c6e937fcbd9f631b11df932649,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,145.15,paid,2019-02-27,2019-02-28
0145961d67543273a973be15a4adc330770baaa9,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,119.11,paid,2019-04-15,2019-04-15
014c68f6435bff688e8ec206e0207b813a765d79,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,44.94,paid,2019-04-02,2019-04-02
01550bfdbad0f8cfa0ca806888e81305d74c3e89,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,146.8,voided,2019-01-19,""
01566f4f84d023fd6b50822c56e7d40d693785b6,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,206.42,paid,2019-04-14,2019-04-14
0162568249384cb4ba93ab752b9e112b59a30704,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,109.89,paid,2019-03-09,2019-03-09
0176a7d2a94cec28a2e40ae80c4508e68acd14b5,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,79.81,paid,2019-04-25,2019-04-25
